imo,mmsi,name,owner,operator,built,flag,region,tier,notes,active
9808613,657990850,African Pioneer,Marine Platforms,,2023-12,Nigeria,Africa,T1,"ex-Matisse; Aghami field; ex-China Merchants Pioneer; ex-Ultra Deep Matisse; ex-Ultra Deep Installer. Delayed ~3 years after UDS default. Built: CMHI, Shenzhen, China.",1
8521048,423098100,Ak. Tofik Ismayilov,AZCON/ACS,,1989-09,Azerbaijan,Caspian,T3,"Never leaves Caspian. Built: Valmet Shipbuilding, Turku, Finland. SPHL 16 persons.",1
9799604,413579650,Andy Warhol,UDS / CSSC Wuchang,,2019,Bahamas,Asia,T2,"aka Wu Chuan Shi 21. For sale. GISIS shows build 2026-04 (hull/delivery discrepancy). Built: Wuchang Shipbuilding (WSIG), Wuhan, China.",1
9624988,241784000,Athena,Asso,,2013-09,Greece,Europe,T1,"ex-SBM Installer. Built: Keppel Singmarine, Singapore.",1
9395800,538003296,Aureus,Dulam International,,2009-01,Marshall Islands,AG,T3,"ex-Ullswater (Hallin Marine). Built: Pan-United Marine, Singapore.",1
9441221,538003646,Boka Atlantis,Boskalis,,2011-03,Marshall Islands,Europe,T2,"ex-Harkand Atlantis; ex-Iremis Atlantis; ex-Gulmar Atlantis. Built: Hanjin Heavy Industries, Busan, South Korea.",1
9441233,538003647,Boka Da Vinci,Boskalis,,2011-09,Marshall Islands,Europe,T2,"ex-Harkand Da Vinci; ex-Nor Da Vinci; ex-Iremis Da Vinci; ex-Gulmar Da Vinci. Built: Hanjin Heavy Industries, Busan, South Korea.",1
9187526,232585000,Boka Polaris,Boskalis,,1999-05,UK,Europe,T1,"ex-Rever Polaris; ex-Bibby Polaris; ex-Toisa Polaris. Built: IHC Offshore & Marine, Krimpen aan den IJssel, Netherlands.",1
9382815,257058640,Boka Topaz,Boskalis,,2007-11,NIS Norway,Europe,T2,"ex-Rever Topaz; ex-Bibby Topaz. Built: Fosen Mekaniske Verksteder, Rissa, Norway.",1
9309112,352554000,CCC Pioneer,CCC,,2005-02,Panama,AG,T3,"Built: ABG Shipyard, Surat/Dahej, Gujarat, India.",1
9781190,563025100,Challenger,K Subsea,,2017-11,Singapore,Asia,T2,"ex-Kreuz Challenger. Built: VARD Tulcea / VARD Ulstein, Romania / Norway.",1
9524932,248606000,Constructor,Boskalis,,2010-01,Malta,AG,T3,"Malta flag; ex-Noordhoek Constructor. Built: Niigata Shipbuilding, Niigata, Japan.",1
9413822,311023800,Deep Arctic,TechnipFMC,,2009-03,Bahamas,Europe,T1,"ex-Skandi Arctic. Built: VARD Søviknes, Søvik, Norway.",1
9727833,311000849,Deep Discoverer,TechnipFMC,,2019-01,Bahamas,Europe,T1,"Built: VARD Tulcea / VARD Søviknes, Tulcea, Romania / Søvik, Norway.",1
9729726,311000411,Deep Explorer,TechnipFMC,,2016-12,Bahamas,Europe,T1,"Built: VARD Tulcea / VARD Langsten, Tulcea, Romania / Tomrefjord, Norway.",1
