imo,name,built_year,deck_space_m2,deck_strength_t_m2,pob,crane1_swl_t,crane2_swl_t,sat_type,sat_divers,bell_config,rov_hangar,confidence,source_note
1087134,ALTERA,,,,,,,none,,none,,medium,"N-Sea/Neptune shallow-water support - air dive support, no sat | sat/bell=none is certain (non-DSV); other fields unverified"
9639842,ASTRO AURORA,2014,940,,105,150,,none,,none,,high,"Clarksons 06/2026: Astro Aurora 150t, 940 m2, POB 105, DP3, 2014 Sinopacific | sat=none (non-DSV)"
8205620,ATLANTIC TONJER,1983,550,,105,50,,none,,none,0,high,"Clarksons 08/2026: Atlantic Tonjer 50t, 550 m2, POB 105 | sat=none (non-DSV)"
9808613,African Pioneer,2023,1500,,120,400,,integrated,24,twin,2,high,"DCN DSV fleet sheet 08/2026 (Spinergie); deck: web source had 2200 | ex-Ultra Deep Matisse, MT6027 145m; 24-man twin bell twin 24-man SPHL, 400t Huisman 5200m, 2200 m2, 2 WROV hangars (design specs; verify as-delivered)"
8521048,Akademik Tofiq Ismayilov,1986,800,,104,25,,integrated,12,single,,high,DCN DSV fleet sheet 08/2026 (Spinergie) | Caspian DSV; SPHL 16 pers suggests 16-man system; bell config unverified
9799604,Andy Warhol,2025,800,,120,150,,integrated,18,single,2,high,"DCN DSV fleet sheet 08/2026 (Spinergie) | MT6023 107m sister of Van Gogh; 18-man 300m, 150t AHC 3000m, 2 WROV in hangars; bell config unconfirmed (design=single)"
9624988,Athena,2013,1500,,120,150,,integrated,12,single,,high,"DCN DSV fleet sheet 08/2026 (Spinergie); c1: web source had 250 | ex-SBM Installer MT6024 double-deck; integrated 12-man 300m, 250t knuckle boom + 150t winch, DP3; bell config single assumed"
9395800,Aureus,2007,700,,120,50,,integrated,15,single,1,high,"DCN DSV fleet sheet 08/2026 (Spinergie) | ex-Ullswater (Hallin): 15-man sat, 50t crane, 700 m2, POB 125, moonpool, CROV WROV"
9676280,BOKA SPEARFISH,2014,1300,,110,250,,none,,none,,high,"Clarksons 02/2026: Boka Spearfish 250t, 1300 m2, POB 110 (Vard 303; ROV not listed) | sat=none (non-DSV)"
9165877,BOTNICA,1998,1000,,72,150,,none,,none,0,high,"Clarksons 12/2025: Botnica 150t, ~1000 m2 (sheets vary 670-1000), POB 72 | sat=none (non-DSV)"
9629835,BOURBON EVOLUTION 802,2012,940,,105,150,40,none,,none,2,medium,"Bourbon Evolution 800-series MPSV: 100t AHC, 2 internal ROV hangars, POB ~94 (from class knowledge - verify) | sat/bell=none is certain (non-DSV); other fields unverified | UNO list: BE 800-series 150t AHC + 40t AHC, 940 m2, POB 105, DP3"
9639804,BOURBON EVOLUTION 803,2013,940,,105,150,40,none,,none,2,medium,"Bourbon Evolution 800-series MPSV: 100t AHC, 2 internal ROV hangars, POB ~94 (from class knowledge - verify) | sat/bell=none is certain (non-DSV); other fields unverified | UNO list: BE 800-series config"
